,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,"Daihatsu Motor Co., Ltd.",,,
Mobil Penumpang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Daihatsu,,Mebius*,DAA-ZVW41N,"2ZR（Mesin Bakar）
5JM（Motor Elektrik）",1.797,CVT(E),1450～1480,5.0,26.2,88.61297709923664,14.4,"V,I,EP,C,H","3W,EGR",F,,☆☆☆☆,181.0
,,Altis*,DAA-AVV50N,"2AR(Mesin Bakar)
2JM(Motor Elektrik)",2.493,CVT（E）,1540～1560,5.0,23.4,99.21623931623931,13.2,"V,I,EP,C,H","3W,EGR",F,,☆☆☆☆,177.0
,,Boon,DBA-M600S,1KR,0.996,"CVT
（E･LTC）",910.0,5.0,23.0,100.94173913043477,20.8,"I.V,EP,B,C","3W,EGR",F,,☆☆☆☆,110.0
,,,DBA-M600S,1KR,0.996,"CVT
（E･LTC）",910.0,5.0,21.2,109.5122641509434,20.8,"V,EP,B,C","3W,EGR",F,,☆☆☆☆,101.0
,,,DBA-M610S,1KR,0.996,"CVT
（E･LTC）",970.0,5.0,19.0,122.19263157894736,20.8,"V,EP,C","3W,EGR",A,,☆☆☆☆,
,,Be-go,ABA-J200G,3SZ,1.495,4AT(E･LTC),1160.0,5.0,13.8,168.23623188405796,18.7,V、EP,3W,R,,,
,,,ABA-J210G,3SZ,1.495,4AT(E･LTC),1200.0,5.0,13.2,175.88333333333335,17.2,V、EP,3W,A,,,
,(Catatan)＊印の付いているNama Modelについては、Toyota Motor Corporationが製造事業者です。,,,,,,,,,,,,,,,,
