,,,,,,,,"Nama Perusahaan Produsen atau Importir Kendaraan　　　　Nissan Motor Co., Ltd.",,,,,,,,,
Mobil Penumpang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Nissan,,Note,DBA-E12,HR12,1.198,CVT(E･LTC),1070.0,5.0,25.2,92.0,20.5,"I,D,V,MC,EP,B,C","3W,EGR",F,,☆☆☆☆,122.0
,,,DBA-E12,HR12,1.198,CVT(E･LTC),1090.0,5.0,24.0,97.0,18.7,"I,D,V,MC,EP,B,C","3W,EGR",F,,☆☆☆☆,128.0
,,,DBA-E12,HR12,1.198,CVT(E･LTC),1030～1040,5.0,22.6,103.0,20.5,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,110.0
,,,DBA-NE12,HR12,1.198,CVT(E･LTC),1110.0,5.0,18.2,128.0,18.7,"V,EP,B,C","3W,EGR",A,,☆☆☆☆,
,,Cube,DBA-Z12,HR15,1.498,CVT(E･LTC),1200～1240,5.0,19.0,122.0,17.2,"I,V,EP,B,C",3W,F,,☆☆☆☆,110.0
,,,DBA-NZ12,HR15,1.498,CVT(E･LTC),1270～1310,5.0,15.6,149.0,17.2,"V,EP,B,C","3W,EGR",A,,☆☆☆☆,
,,,DBA-NZ12,HR15,1.498,CVT(E･LTC),1320.0,5.0,15.2,153.0,15.8,"V,EP,B,C","3W,EGR",A,,☆☆☆☆,
,,Skyline,DAA-HV37,VQ35-HM34,3.498,7AT,1760.0,5.0,18.4,126.0,12.2,"H,I,V,EP",3W,R,,☆☆☆☆,150.0
