,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　       Toyota Motor Corporation,,,,,,,,
Mobil Penumpang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Toyota,,Aqua,"DAA-
NHP10","1NZ
(Mesin Bakar)
1LM
(Motor Elektrik)",1.496,CVT(E),"1050～
1080",5.0,37.0,62.74756756756757,20.5,"V
I
EP
C
H","EGR
3W",F,,☆☆☆☆,180.0
,,,"DAA-
NHP10","1NZ
(Mesin Bakar)
1LM
(Motor Elektrik)",1.496,CVT(E),"1090～
1140",5.0,33.8,68.68816568047338,18.7,"V
I
EP
C
H","EGR
3W",F,,☆☆☆☆,180.0
,,"Corolla　
Axio",DAA-NKE165,"1NZ
（Mesin Bakar）
1LM
（Motor Elektrik）",1.496,CVT(E),1140～1150,5.0,33.0,70.35333333333334,18.7,"Ｖ
Ｉ
EP
Ｈ
C","EGR
3W",F,,☆☆☆☆,176.0
,,,DBA-NZE161,1NZ,1.496,"CVT
(E・LTC）",1090.0,5.0,21.4,108.48878504672898,18.7,"V
I
EP
C
B","EGR
3W",F,,☆☆☆☆,114.0
,,,DBA-NZE161,1NZ,1.496,"CVT
(E・LTC）",1090.0,5.0,20.0,116.083,18.7,"V
EP
C
B","EGR
3W",F,,☆☆☆☆,106.0
,,,DBA-NZE161,1NZ,1.496,5MT,1070～1080,5.0,18.0,128.9811111111111,20.5,"V
EP
B","EGR
3W",F,,☆☆☆☆,
,,,DBA-NRE160,1NR,1.329,"CVT
(E・LTC）",1050,5.0,20.6,112.70194174757282,20.5,"V
EP
C
B","EGR
3W",F,,☆☆☆☆,100.0
,,,DBA-NZE164,1NZ,1.496,"CVT
(E・LTC）",1170～1180,5.0,16.4,141.56463414634146,18.7,"V
EP
C
B","EGR
3W",A,,☆☆☆☆,
,,,DBA-NZE164,1NZ,1.496,"CVT
(E・LTC）",1200.0,5.0,16.0,145.10375,17.2,"V
EP
C
B","EGR
3W",A,,☆☆☆☆,
,,"Corolla　
Fielder",DAA-NKE165G,"1NZ
（Mesin Bakar）
1LM
（Motor Elektrik）",1.496,CVT(E),1180～1190,5.0,33.0,70.35333333333334,18.7,"Ｖ
Ｉ
EP
Ｈ
C","EGR
3W",F,,☆☆☆☆,176.0
,,,DBA-NZE161G,1NZ,1.496,"CVT
(E・LTC）",1140～1150,5.0,21.2,109.5122641509434,18.7,"V
I
EP
C
B","EGR
3W",F,,☆☆☆☆,113.0
,,,DBA-NZE161G,1NZ,1.496,"CVT
(E・LTC）",1140～1150,5.0,19.6,118.45204081632652,18.7,"V
EP
C
B","EGR
3W",F,,☆☆☆☆,104.0
,,,DBA-NZE161G,1NZ,1.496,5MT,1120～1130,5.0,17.6,131.9125,18.7,"V
EP
B","EGR
3W",F,,☆☆☆☆,
,,,DBA-ZRE162G,2ZR,1.797,"CVT
(E・LTC）",1160～1170,5.0,16.6,139.85903614457828,18.7,"V
EP
C
B",3W,F,,☆☆☆☆,
,,,DBA-NZE164G,1NZ,1.496,"CVT
(E・LTC）",1200～1220,5.0,16.0,145.10375,17.2,"V
EP
C
B","EGR
3W",A,,☆☆☆☆,
,,Prius,DAA-ZVW30,"2ZR
(Mesin Bakar)
3JM
(Motor Elektrik)",1.797,CVT(E),1310.0,5.0,32.6,71.21656441717792,17.2,"V
I
EP
H
C","EGR
3W",F,,☆☆☆☆,189.0
,,,DAA-ZVW30,"2ZR
(Mesin Bakar)
3JM
(Motor Elektrik)",1.797,CVT(E),"1350～
1420",5.0,30.4,76.37039473684209,15.8,"V
I
EP
H
C","EGR
3W",F,,☆☆☆☆,192.0
,,Prius　α,DAA-ZVW40W,"2ZR
(Mesin Bakar)
5JM
(Motor Elektrik)",1.797,CVT(E),1460～1500,7.0,26.2,88.61297709923664,14.4,"V
I
EP
C
H","EGR
3W",F,,☆☆☆☆,181.0
,,,DAA-ZVW41W,"2ZR
(Mesin Bakar)
5JM
(Motor Elektrik)",1.797,CVT(E),1450～1490,5.0,26.2,88.61297709923664,14.4,"V
I
EP
C
H","EGR
3W",F,,☆☆☆☆,181.0
,,Camry,DAA-AVV50,"2AR
(Mesin Bakar)
2JM
(Motor Elektrik)",2.493,CVT(E),"1540～
1560",5.0,23.4,99.21623931623931,13.2,"V
I
EP
C
H","EGR
3W",F,,☆☆☆☆,177.0
,,Crown,DAA-AWS210,"2AR
（Mesin Bakar）
1KM
（Motor Elektrik）",2.493,CVT(E),1630～1650,5.0,23.2,100.07155172413793,13.2,"Ｄ
Ｖ
Ｉ
EP
Ｈ
C","EGR
3W",R,,☆☆☆☆,175.0
,,,DAA-AWS210,"2AR
（Mesin Bakar）
1KM
（Motor Elektrik）",2.493,CVT(E),1660～1710,5.0,23.2,100.07155172413793,12.2,"Ｄ
Ｖ
Ｉ
EP
Ｈ
C","EGR
3W",R,,☆☆☆☆,190.0
,,,DBA-GRS210,4GR,2.499,6AT(E･LTC),1540～1620,5.0,11.4,203.65438596491228,13.2,"Ｄ
Ｖ
EP
B",3W,R,,☆☆☆☆,
,,,DBA-GRS200,4GR,2.499,6AT(E･LTC),1590.0,5.0,10.4,223.23653846153843,13.2,"Ｄ
Ｖ
EP",3W,R,,☆☆☆☆,
