,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,Toyota Motor Corporation,,,
Mobil Penumpang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Toyota,※1,Pixis Epoch,DBA-LA300A,KF,0.658,CVT(E･LTC),730.0,4.0,33.4,69.51077844311376,21.8,I、Ｖ、EP、B、C,3W、EGR,F,,☆☆☆☆,153.0
,,,DBA-LA310A,KF,0.658,CVT(E･LTC),790.0,4.0,30.4,76.37039473684209,21.0,I、Ｖ、EP、B、C,3W、EGR,A,,☆☆☆☆,144.0
,※1,Pixis Space,DBA-L５７５Ａ,KF,0.658,CVT(E･LTC),830～850,4.0,27.6,84.11811594202898,21.0,I、Ｖ、EP、B、C,3W、EGR,F,,☆☆☆☆,131.0
,,,DBA-L５７５Ａ,KF,0.658,CVT(E･LTC),880.0,4.0,24.0,96.73583333333332,20.8,I、EP、B、C,3W,F,,☆☆☆☆,115.0
,,,DBA-L５８５Ａ,KF,0.658,CVT(E･LTC),880～900,4.0,25.0,92.8664,20.8,I、Ｖ、EP、B、C,3W、EGR,A,,☆☆☆☆,120.0
,,,DBA-L５８５Ａ,KF,0.658,CVT(E･LTC),930.0,4.0,23.0,100.94173913043477,20.8,I、EP、B、C,3W,A,,☆☆☆☆,110.0
,,,,,,,,,,,,,,,,,
,,"(Catatan)　*1印の付いているNama Modelについては、　Daihatsu Motor Co., Ltd.が製造事業者である。",,,,,,,,,,,,,,,
