,,,,,,,,,"Nama Perusahaan Produsen atau Importir Kendaraan　　　　Nissan Motor Co., Ltd.",,,,,,,,,,
Mobil Barang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
,,,,,,,,,,,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Nissan,※1,NT100 Clipper,EBD-DR16T,Ｒ06A,0.658,5MT,680～690,350.0,1140～1150,Struktur B,18.6,125.0,18.2,"V,FI",3W,R,,,102.0
,,,EBD-DR16T,Ｒ06A,0.658,5MT,720～730,350.0,1180～1190,Struktur B,18.4,126.0,18.2,"V,FI",3W,A,,,101.0
,,,EBD-DR16T,Ｒ06A,0.658,5MT×2,730～740,350.0,1190～1200,Struktur B,18.4,126.0,18.2,"V,FI",3W,A,,,101.0
,,,EBD-DR16T,Ｒ06A,0.658,3AT(E),690～700,350.0,1150～1160,Struktur B,16.8,138.0,16.4,"V,FI",3W,R,,,102.0
,,,EBD-DR16T,Ｒ06A,0.658,3AT(E),730～740,350.0,1190～1200,Struktur B,16.6,140.0,16.4,"V,FI",3W,A,,,101.0
,※1,NV100 Clipper,EBD-DR64V,K6A,0.658,5MT,910～950,250～350,1370～1420,Struktur B,16.4,142.0,17.2,"FI,EP",3W,R,Dengan Turbocharger,,
,,,EBD-DR64V,K6A,0.658,5MT,950～970,250～350,1410～1440,Struktur B,16.4,142.0,17.2,"FI,EP",3W,A,Dengan Turbocharger,,
,,,EBD-DR64V,K6A,0.658,5MT,980～990,250～350,1440～1460,Struktur B,15.8,147.0,16.4,"FI,EP",3W,A,Dengan Turbocharger,,
,,,EBD-DR64V,K6A,0.658,5MT,880～930,250～350,1340～1400,Struktur B,15.8,147.0,17.2,"FI,EP",3W,R,,,
,,,EBD-DR64V,K6A,0.658,5MT,920～970,250～350,1380～1440,Struktur B,15.2,153.0,17.2,"FI,EP",3W,A,,,
,,,EBD-DR64V,K6A,0.658,3AT(E),880～930,250～350,1340～1400,Struktur B,15.0,155.0,15.4,"FI,EP",3W,R,,,
,,,EBD-DR64V,K6A,0.658,3AT(E),920～970,250～350,1380～1440,Struktur B,14.6,159.0,15.4,"FI,EP",3W,A,,,
,,,EBD-DR64V,K6A,0.658,4AT(E),920～960,250～350,1380～1430,Struktur B,14.4,161.0,15.4,"FI,EP",3W,R,Dengan Turbocharger,,
,,,EBD-DR64V,K6A,0.658,4AT(E),960～970,250～350,1420～1440,Struktur B,14.4,161.0,15.4,"FI,EP",3W,A,Dengan Turbocharger,,
,,,EBD-DR64V,K6A,0.658,4AT(E),980～1000,250～350,1440～1470,Struktur B,13.8,168.0,14.7,"FI,EP",3W,A,Dengan Turbocharger,,
,,,HBD-DR64V,K6A,0.658,3AT(E),880～930,250～350,1340～1400,Struktur B,15.4,151.0,15.4,"FI,EP",3W,R,,☆☆☆☆,100.0
,,,HBD-DR64V,K6A,0.658,3AT(E),920～970,250～350,1380～1440,Struktur B,15.4,151.0,15.4,"FI,EP",3W,A,,☆☆☆☆,100.0
,,,,,,,,,,,,,,,,,,,
,※1印の付いているNama Modelについては、Suzuki Motor Corporationが製造事業者である。,,,,,,,,,,,,,,,,,,
