,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,Mazda Motor Corporation,,,
Mobil Penumpang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,Tahun Target (TA 2015),
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Mazda,,Axela,DAA-BYEFP,"PE(Mesin Bakar)
MG(Motor Elektrik)",1.997,CVT(E),1390～1400,5.0,30.8,75.37857142857142,15.8,"H,I,D,V,EP,C",3W+EGR,F,,☆☆☆☆,194.0
,,,DBA-BM5FP,P5,1.496,6AT(E･LTC),1270.0,5.0,19.6,118.45204081632652,17.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,113.0
,,,DBA-BM5FP,P5,1.496,6MT,1240.0,5.0,19.2,120.91979166666667,17.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,111.0
,,,DBA-BM5FS,P5,1.496,6AT(E･LTC),1270.0,5.0,19.4,119.67319587628867,17.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,112.0
,,,DBA-BM5FS,P5,1.496,6MT,1240.0,5.0,19.2,120.91979166666667,17.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,111.0
,,,DBA-BMEFS,PE,1.997,6AT(E･LTC),1310.0,5.0,19.0,122.19263157894736,17.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,110.0
,,,DBA-BMEFS,PE,1.997,6AT(E･LTC),1330.0,5.0,18.4,126.17717391304349,15.8,"I,D,V,EP,B",3W,F,,☆☆☆☆,116.0
,,,DBA-BM5AP,P5,1.496,6AT(E･LTC),1340.0,5.0,17.8,130.4303370786517,15.8,"I,D,V,EP,B",3W,A,,☆☆☆☆,112.0
,,,DBA-BM5AS,P5,1.496,6AT(E･LTC),1350.0,5.0,17.8,130.4303370786517,15.8,"I,D,V,EP,B",3W,A,,☆☆☆☆,112.0
,,Demio,DBA-DEJFS,P3,1.298,CVT(E･LTC),1010～1020,5.0,25.0,92.8664,20.5,"I,D,V.EP.B.MC,C",3W+EGR,F,,☆☆☆☆,121.0
,,,DBA-DE3FS,ZJ,1.348,CVT(E･LTC),990～1000,5.0,20.6,112.70194174757282,20.5,"V.EP.MC,C",3W+EGR,F,,☆☆☆☆,100.0
,,,DBA-DE3FS,ZJ,1.348,5MT,970.0,5.0,19.0,122.19263157894736,20.5,"V,EP",3W+EGR,F,,☆☆☆☆,
,,,DBA-DE3FS,ZJ,1.348,5MT,980.0,5.0,18.6,124.82043010752686,20.5,"V,EP",3W+EGR,F,,☆☆☆☆,
