,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,"Daihatsu Motor Co., Ltd.",,,
Mobil Penumpang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
,,,,,,,,,,,,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,,,,,,,,Langkah,Langkah,Tipe,,Level,
Daihatsu,,Mira e:S,DBA-LA300S,KF,0.658,CVT(E･LTC),730.0,4.0,33.4,69.51077844311376,21.8,I、V、EP、B、C,3W、EGR,F,,☆☆☆☆,153.0
,,,DBA-LA310S,KF,0.658,CVT(E･LTC),790.0,4.0,30.4,76.37039473684209,21.0,I、V、EP、B、C,3W、EGR,A,,☆☆☆☆,144.0
,,Move,DBA-LA100S,KF,0.658,CVT(E･LTC),810～820,4.0,29.0,80.05724137931034,21.0,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,138.0
,,,DBA-LA100S,KF,0.658,CVT(E･LTC),820～850,4.0,25.2,92.12936507936507,21.0,"I,EP,B,C",3W,F,,☆☆☆☆,120.0
,,,DBA-LA110S,KF,0.658,CVT(E･LTC),870.0,4.0,26.0,89.29461538461538,20.8,"I,V,EP,B,C","3W,EGR",A,,☆☆☆☆,125.0
,,,DBA-LA110S,KF,0.658,CVT(E･LTC),870～890,4.0,23.4,99.21623931623931,20.8,"I,EP,B,C",3W,A,,☆☆☆☆,112.0
,,Tanto,DBA-LA600S,KF,0.658,CVT(E･LTC),920～940,4.0,28.0,82.91642857142857,20.8,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,134.0
,,,DBA-LA600S,KF,0.658,CVT(E･LTC),940～960,4.0,26.0,89.29461538461538,20.8,"I,V,EP,B,C",3W,F,,☆☆☆☆,125.0
,,,DBA-LA600S,KF,0.658,CVT(E･LTC),970.0,4.0,27.4,84.73211678832116,20.8,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,131.0
,,,DBA-LA600S,KF,0.658,CVT(E･LTC),980～990,4.0,26.0,89.29461538461538,20.5,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,126.0
,,,DBA-LA610S,KF,0.658,CVT(E･LTC),970.0,4.0,27.0,85.9874074074074,20.8,"I,V,EP,B,C","3W,EGR",A,,☆☆☆☆,129.0
,,,DBA-LA610S,KF,0.658,CVT(E･LTC),980～990,4.0,25.8,89.98682170542635,20.5,"I,V,EP,B,C","3W,EGR",A,,☆☆☆☆,125.0
,,,DBA-LA610S,KF,0.658,CVT(E･LTC),990～1010,4.0,24.6,94.37642276422763,20.5,"I,V,EP,B,C",3W,A,,☆☆☆☆,120.0
,,Move Conte,DBA-L575S,KF,0.658,CVT(E･LTC),830~850,4.0,27.6,84.11811594202898,21.0,I、V、EP、B、C,3W、EGR,F,,☆☆☆☆,131.0
,,,DBA-L575S,KF,0.658,CVT(E･LTC),880.0,4.0,24.0,96.73583333333332,20.8,I、EP、B、C,3W,F,,☆☆☆☆,115.0
,,,DBA-L585S,KF,0.658,CVT(E･LTC),880~900,4.0,25.0,92.8664,20.8,I、V、EP、B、C,3W、EGR,A,,☆☆☆☆,120.0
,,,DBA-L585S,KF,0.658,CVT(E･LTC),930.0,4.0,23.0,100.94173913043477,20.8,I、EP、B、C,3W,A,,☆☆☆☆,110.0
,,Mira Cocoa,DBA-L675S,KF,0.658,CVT(E･LTC),800～810,4.0,26.0,89.29461538461538,21.0,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,123.0
,,,DBA-L685S,KF,0.658,CVT(E･LTC),850.0,4.0,25.6,90.68984375,21.0,"I,V,EP,B,C","3W,EGR",A,,☆☆☆☆,121.0
,,Tanto Exe,DBA-L455S,KF,0.658,CVT(E･LTC),870～890,4.0,25.0,92.8664,20.8,"I,V,EP,B,C","3W,EGR",F,,☆☆☆☆,120.0
,,,DBA-L455S,KF,0.658,CVT(E･LTC),920.0,4.0,22.2,104.57927927927929,20.8,"I,EP,B,C",3W,F,,☆☆☆☆,106.0
,,,DBA-L465S,KF,0.658,CVT(E･LTC),930～950,4.0,24.0,96.73583333333332,20.8,"I,V,EP,B,C","3W,EGR",A,,☆☆☆☆,115.0
,,,DBA-L465S,KF,0.658,CVT(E･LTC),970.0,4.0,21.4,108.48878504672898,20.8,"I,EP,B,C",3W,A,,☆☆☆☆,102.0
,,Mira,DBA-L275S,KF,0.658,5MT,750.0,4.0,24.2,95.93636363636364,21.0,Ｖ、EP,3W,F,,☆☆☆☆,115.0
,,,DBA-L285S,KF,0.658,5MT,800.0,4.0,21.6,107.48425925925925,21.0,Ｖ、EP,3W,A,,☆☆☆☆,102.0
,,Atrai Wagon,ABA-S321G,KF,0.658,4AT,970.0,4.0,14.4,161.2263888888889,20.8,,3W,R,,,
,,,ABA-S321G,KF,0.658,4AT,990.0,4.0,14.4,161.2263888888889,20.5,,3W,R,,,
,,,ABA-S331G,KF,0.658,4AT,1010～1030,4.0,13.4,173.25820895522384,20.5,,3W,A,,,
