,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,Toyota Motor Corporation,,
Mobil Penumpang Gas LP,,,,,,,,,,,,,,,,,Tahun Target (TA 2010)
Merek,Nama Model,,,Mesin,,Tipe & Gigi Transmisi,Berat Kendaraan (kg),Kapasitas Penumpang,Mode 10-15,,,Langkah Utama Efisiensi BBM,,,,,Tingkat Pencapaian Standar BBM
,,,,,,,,,Efisiensi BBM (km/L),Emisi CO2/km (g-CO2/km),Standar Efisiensi BBM (km/L),,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,Tipe,Tipe,Kapasitas Mesin (L),,,,,,,,Langkah Utama Emisi Gas Buang,Tipe Penggerak,Lainnya,Emisi Rendah,
,,,,,,,,,,,,,,,,Sertifikasi Gas,
,,,,,,,,,,,,,,,,Level,
Toyota,,Comfort,DBA-TSS11,1TR,1.998,5MT,1370.0,5.0,11.0,152.76181818181817,9.8,V,3W,R,,☆☆☆☆,110.0
,,,DBA-TSS11,1TR,1.998,4AT(E・LTC),1380～1390,5.0,9.8,171.4673469387755,9.8,V,3W,R,,☆☆☆☆,100.0
,,CrownSedan,DBA-TSS10H,1TR,1.998,4AT(E・LTC),1460.0,5.0,9.8,171.4673469387755,9.8,V,3W,R,,☆☆☆☆,100.0
,,"CrownSedan
CrownComfort",DBA-TSS10,1TR,1.998,4AT(E・LTC),1390～1450,5.0,9.8,171.4673469387755,9.8,V,3W,R,,☆☆☆☆,100.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
