,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan　　　　　　　　　　　　Isuzu Motors Limited,,,,,,,,,,
Mobil Barang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2010)
,,,,,,,,,,,Mode 10-15,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Isuzu,※,Elf,CBF-ASQ1F24,QR20,1.998,5MT,1600～1730,1250～1500,3265～3315,,9.8,236.90408163265303,／,"V,FI",3W,R,,☆☆☆,Tanpa Standar BBM
,,,CBF-ASQ2F24,QR20,1.998,5MT,1630～1810,1250～1500,3295～3390,,9.8,236.90408163265303,／,"V,FI",3W,R,,☆☆☆,Tanpa Standar BBM
,,,CBF-ASQ2F24,QR20,1.998,5AT(E･LTC),1800～1820,1250.0,3380～3400,,8.9,260.8606741573034,／,"V,FI",3W,R,,☆☆☆,Tanpa Standar BBM
,,,,,,,,,,,,,,,,,,,
,※印の付いているNama Modelについては、日産自動車式会社が製造事業者である。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,(Catatan)Mode JC08Efisiensi BBMを有する車両については、Mode 10-15Efisiensi BBMに下線を引いています。,,,,,,,,,,,,,,,,,
,,(Catatan)Total Berat Kendaraan2.5tLebih dari3.5t以下の貨物車については、平成22年度Standar BBMは設定されていません。,,,,,,,,,,,,,,,,,
