,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,Mazda Motor Corporation,,,,
Mobil Barang Bensin (Standar/Kompak),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2010)
,,,,,,,,,,,Mode 10-15,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Mazda,※1,Familia Van,DBF-BVZNY12,HR16,1.597,4AT(E･LTC),1250.0,400.0,1760～1775,Struktur A,13.8,168.23623188405796,12.5,"V,EP",3W,A,,☆☆☆☆,110
,,,DBF-BVZNY12,HR16,1.597,4AT(E･LTC),1270.0,400.0,1780～1795,,13.0,178.58923076923077,10.3,"V,EP",3W,A,,☆☆☆☆,125
,,,CBF-BVJY12,MR18,1.797,4AT（E･LTC),1170～1180,450.0,1730～1755,Struktur A,13.8,168.23623188405796,12.5,"EP,V",3W,F,,☆☆☆,110
,,Bongo,ABF-SKP2T,L8,1.798,5MT,1270～1280,850～1000,2230～2390,,11.2,207.29107142857143,10.7,FI,3W+EGR,R,,,105
,,,ABF-SKP2T,L8,1.798,4AT(E･LTC),1270～1280,850～1000,2230～2380,,10.6,219.0245283018868,10.3,FI,3W+EGR,R,,,100
,,,ABF-SKP2L,L8,1.798,5MT,1410.0,900.0,2420.0,,10.4,223.23653846153843,10.7,FI,3W+EGR,A,Ban Tunggal,,23
,,,ABF-SKP2L,L8,1.798,5MT,1400～1410,1000.0,2510～2520,,10.4,223.23653846153843,／,FI,3W+EGR,A,Ban Ganda,,Tanpa Standar BBM
,,,ABF-SKP2L,L8,1.798,4AT(E･LTC),1400.0,1000.0,2510.0,,10.2,227.6137254901961,／,FI,3W+EGR,A,Ban Ganda,,Tanpa Standar BBM
,,,,,,,,,,,,,,,,,,,
,(Catatan),"※1印の付いているNama Modelについては、Nissan Motor Co., Ltd.が製造事業者である。",,,,,,,,,,,,,,,,,
,,Mode JC08Efisiensi BBMを有する車両については、Mode 10-15Efisiensi BBMに下線を引いています。,,,,,,,,,,,,,,,,,
,,Total Berat Kendaraan2.5tLebih dari3.5t以下の貨物車については、平成２２年度Standar BBMは設定されていません。,,,,,,,,,,,,,,,,,
