,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,,,,,"Honda Motor Co., Ltd."
Mobil Barang Bensin (Mobil Ringan/Keicar),,,,,,,,,,,,,,,,,,,Tahun Target (TA 2015)
,,,,,,,,,,,Mode JC08,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,1km Berkendara,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(L),Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Honda,,Acty,EBD-HA8,E07Z,0.656,5MT,760～780,350.0,1220～1240,Struktur B,17.2,134.98023255813953,18.0,FI・EP,3W,R,,,
,,,EBD-HA8,E07Z,0.656,3AT,790.0,350.0,1250.0,Struktur B,15.4,150.75714285714284,16.0,FI・EP,3W,R,,,
,,,EBD-HA9,E07Z,0.656,5MT,810～820,350.0,1270～1280,Struktur B,16.8,138.19404761904758,18.0,FI・EP,3W,A,,,
,,,EBD-HH5,E07Z,0.656,5MT,930～960,"350
350（250）",1390～1430,Struktur B,16.2,143.31234567901234,17.2,FI・EP,3W,R,,,
,,,EBD-HH5,E07Z,0.656,3AT,940～970,"350
350（250）",1400～1440,Struktur B,14.8,156.8689189189189,15.4,FI・EP,3W,R,,,
,,,EBD-HH6,E07Z,0.656,5MT,970.0,350.0,1430.0,Struktur B,15.8,146.9405063291139,17.2,FI・EP,3W,A,,,
,,,EBD-HH6,E07Z,0.656,5MT,980～1000,"350
350（250）",1440～1470,Struktur B,15.4,150.75714285714284,16.4,FI・EP,3W,A,,,
,,,EBD-HH6,E07Z,0.656,4AT,1030～1040,250（150),1390～1410,Struktur B,14.0,165.83285714285714,14.7,FI・EP,3W,A,,,
,,VAMOS Hobio,EBD-HJ1,E07Z,0.656,5MT,960.0,200（100）,1270～1280,Struktur B,16.2,143.31234567901234,17.2,FI・EP,3W,R,,,
,,,EBD-HJ1,E07Z,0.656,3AT,970.0,200（100）,1280～1290,Struktur B,14.8,156.8689189189189,15.4,FI・EP,3W,R,,,
,,,EBD-HJ2,E07Z,0.656,5MT,1000～1010,200（100）,1310～1330,Struktur B,15.4,150.75714285714284,16.4,FI・EP,3W,A,,,
,,,EBD-HJ2,E07Z,0.656,4AT,1050.0,200（100),1360～1370,Struktur B,14.0,165.83285714285714,14.7,FI・EP,3W,A,,,
