,,,,,,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan  Toyota Motor Corporation　　,,,,,,
Mobil Barang Diesel,,,,,,,,,,,,,,,,,,,Tahun Target (TA 2005)
,,,,,,,,,,,Mode 10-15,,,,,,,,Tingkat Pencapaian Standar BBM
,,,,Mesin,,,,,,,,１ｋｍ走行,,Utama,Faktor Lain Pembeda Efisiensi BBM,,,(Referensi),
,,,,,Kapasitas,Tipe Transmisi &,Berat Kendaraan,Kapasitas Muatan,Total Berat Kendaraan,Kendaraan,Efisiensi BBM,Dalam,Efisiensi BBM,Efisiensi BBM,Emisi Utama,,,Emisi Rendah,
Merek,,Nama Model,Tipe,Tipe,Mesin,Tipe &,(kg),(kg),(kg),Struktur,(km/L),Emisi CO2,Standar,Peningkatan,Gas Buang,Penggerak,Lainnya,Sertifikasi Gas,
,,,,,(Ｌ）,Jumlah Gigi,,,,,,(g-CO2/km),(km/L),Langkah,Langkah,Tipe,,Level,
Toyota,,"HiAce
RegiusAce",LDF-KDH201V,1KD,2.982,5MT,1780～1940,850～1250,3045～3305,Struktur B1,13.4,230.9125,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH201V,1KD,2.982,"4AT
（E・LTC)",1790～1960,850～1250,3030～3315,Struktur B1,11.2,193.0014925373134,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH201K,1KD,2.982,5MT,1820～1960,850～1250,3065～3315,Struktur B1,13.4,230.9125,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH201K,1KD,2.982,"4AT
（E・LTC)",1830～1970,850～1250,3075～3325,Struktur B1,11.2,202.04843749999998,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH206V,1KD,2.982,5MT,1890～2000,700～1000,3055～3185,Struktur B1,12.8,235.1109090909091,/,"D
FI
TC
IC
P","EGR
CCO",A,,,Tanpa Standar BBM
,,,LDF-KDH206V,1KD,2.982,"4AT
（E・LTC)",1900～2010,700～1000,3065～3195,Struktur B1,11.0,248.67499999999998,/,"D
FI
TC
IC
P","EGR
CCO",A,,,Tanpa Standar BBM
,,,LDF-KDH206V,1KD,2.982,"4AT
（E・LTC)",2030～2070,850～1000,3140～3195,Struktur B1,10.4,202.04843749999998,/,"D
FI
TC
IC
P","EGR
CCO",A,,,Tanpa Standar BBM
,,,LDF-KDH206K,1KD,2.982,5MT,1930～2010,850～1000,3095～3190,Struktur B1,12.8,235.1109090909091,/,"D
FI
TC
IC
P","EGR
CCO",A,,,Tanpa Standar BBM
,,,LDF-KDH206K,1KD,2.982,"4AT
（E・LTC)",1940～2010,850～1000,3105～3190,Struktur B1,11.0,248.67499999999998,/,"D
FI
TC
IC
P","EGR
CCO",A,,,Tanpa Standar BBM
,,,LDF-KDH206K,1KD,2.982,"4AT
（E・LTC)",2020.0,850～1000,3185～3200,Struktur B1,10.4,230.9125,/,"D
FI
TC
IC
P","EGR
CCO",A,,,Tanpa Standar BBM
,,,LDF-KDH211K,1KD,2.982,"4AT
（E・LTC)",2000～2010,850～1000,3110～3135,Struktur B1,11.2,243.98301886792456,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH211K,1KD,2.982,"4AT
（E・LTC)",2030～2040,850～1000,3140～3165,Struktur B1,10.6,230.9125,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH221K,1KD,2.982,"4AT
（E・LTC)",1990～2010,850～1000,3155～3190,Struktur B1,11.2,243.98301886792456,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,,LDF-KDH221K,1KD,2.982,"4AT
（E・LTC)",2020～2050,850～1000,3185～3230,Struktur B1,10.6,205.25555555555553,/,"D
FI
TC
IC
P","EGR
CCO",R,,,Tanpa Standar BBM
,,"Dyna
ToyoAce",LDF-KDY221,1KD,2.982,5MT,1690～1760,1000～1500,3055～3425,Struktur B2,12.6,211.98524590163936,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY221,1KD,2.982,5MT,"1770～
1910",1000～1500,"3100～
3485",Struktur B2,12.2,230.9125,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY221,1KD,2.982,"4AT
(E・LTC）",1700～1760,1200～1250,3065～3175,Struktur B2,11.2,205.25555555555553,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY231,1KD,2.982,5MT,"1710～
1760","1250～
1500","3125～
3425",Struktur B2,12.6,211.98524590163936,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY231,1KD,2.982,5MT,"1770～
2010","1000～
1500","3110～
3470",Struktur B2,12.2,222.95000000000002,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY231,1KD,2.982,5MT,2020～2040,1100.0,3450～3470,Struktur B2,11.6,230.9125,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY231,1KD,2.982,"4AT
(E・LTC）",1720～1760,1250.0,3135～3175,Struktur B2,11.2,253.55098039215687,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY231,1KD,2.982,"4AT
(E・LTC）",1770～1970,1150～1450,3185～3490,Struktur B2,10.2,215.51833333333332,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY241V,1KD,2.982,5MT,"1990～
2010",1250.0,"3405～
3425",Struktur B1,12.0,222.95000000000002,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY241V,1KD,2.982,5MT,2020～2100,1000～1250,"3380～
3475",Struktur B1,11.6,222.95000000000002,／,"D
FI
TC
IC
P","EGR
CCO
DF",R,,,Tanpa Nilai Standar BBM
,,,LDF-KDY271,1KD,2.982,5MT,1820～1940,1000～1250,3210～3285,Struktur B2,11.6,222.95000000000002,／,"D
FI
TC
IC
P","EGR
CCO
DF",A,,,Tanpa Nilai Standar BBM
,,,LDF-KDY281,1KD,2.982,5MT,1820～1980,1000～1350,3230～3460,Struktur B2,11.6,248.67499999999998,／,"D
FI
TC
IC
P","EGR
CCO
DF",A,,,Tanpa Nilai Standar BBM
,,,LDF-KDY281,1KD,2.982,"4AT
(E・LTC）",1830～1980,1000～1250,"3240～
3315",Struktur B2,10.4,253.55098039215687,／,"D
FI
TC
IC
P","EGR
CCO
DF",A,,,Tanpa Nilai Standar BBM
,,,LDF-KDY281,1KD,2.982,"4AT
(E・LTC）",1820～1870,1200.0,"3185～
3235",Struktur B2,10.2,253.55098039215687,／,"D
FI
TC
IC
P","EGR
CCO
DF",A,,,Tanpa Nilai Standar BBM
,,,,,,,,,,,,,,,,,,,
,,(Catatan)Mode JC08Efisiensi BBMを有する車両については、Mode 10-15Efisiensi BBMに下線を引いています。,,,,,,,,,,,,,,,,,
,,(Catatan)Total Berat Kendaraan2.5tLebih dari3.5t以下の貨物車については、平成17年度Standar BBMは設定されていません。,,,,,,,,,,,,,,,,,
